,Beverage_category,Beverage_prep,Calories,Total_Fat(g),Trans_Fat(g),Saturated_Fat(g),Sodium(mg),Total_Carbohydrates(g),Cholesterol(mg),Dietary_Fibre(g),Sugars(g),Protein(g),Vitamin_A,Vitamin_C,Calcium,Iron,Caffeine(mg)
206,Frappuccino Blended Coffee,Whole Milk,370,5,3.0,0.1,15,300,78,0,77,5.0,0.08,0.0,0.15,0.02,130
207,Frappuccino Blended Coffee,Soymilk,340,2.5,0.3,0.0,0,290,75,1,73,5.0,0.06,0.0,0.2,0.08,130
208,Frappuccino Blended Coffee,Tall Nonfat Milk,220,3,2.0,0.0,0,170,47,1,44,4.0,0.04,0.0,0.1,0.2,75
209,Frappuccino Blended Coffee,Whole Milk,240,5,3.5,0.1,10,170,47,1,44,4.0,0.04,0.0,0.08,0.2,75
210,Frappuccino Blended Coffee,Soymilk,220,4,2.5,0.0,0,170,45,1,42,3.0,0.04,0.0,0.1,0.2,75
211,Frappuccino Blended Coffee,Grande Nonfat Milk,310,4,3.0,0.0,0,250,67,2,62,5.0,0.06,0.0,0.1,0.25,110
212,Frappuccino Blended Coffee,Whole Milk,340,7,5.0,0.1,10,250,67,2,62,5.0,0.04,0.0,0.1,0.25,110
213,Frappuccino Blended Coffee,Soymilk,310,6,3.5,0.0,0,240,65,2,60,4.0,0.04,0.0,0.1,0.3,110
214,Frappuccino Blended Coffee,Venti Nonfat Milk,420,5,4.0,0.0,5,340,90,2,84,7.0,0.1,0.0,0.2,0.35,145
215,Frappuccino Blended Coffee,Whole Milk,460,10,7.0,0.2,15,340,90,2,84,7.0,0.06,0.0,0.15,0.35,145
216,Frappuccino Blended Coffee,Soymilk,430,8,4.5,0.0,0,330,88,3,80,6.0,0.06,0.0,0.2,0.4,145
217,Frappuccino Light Blended Coffee,Tall Nonfat Milk,90,0.1,0.0,0.0,0,160,20,0,19,3.0,0.04,0.0,0.1,0.0,70
218,Frappuccino Light Blended Coffee,Grande Nonfat Milk,120,0.1,0.1,0.0,0,210,26,0,26,3.0,0.06,0.0,0.1,0.0,95
219,Frappuccino Light Blended Coffee,Venti Nonfat Milk,160,0.1,0.1,0.0,5,270,34,0,33,5.0,0.08,0.0,0.15,0.02,120
220,Frappuccino Light Blended Coffee,Tall Nonfat Milk,110,0.5,0.4,0.0,0,150,24,1,23,3.0,0.04,0.0,0.08,0.06,70
221,Frappuccino Light Blended Coffee,Grande Nonfat Milk,150,1,0.5,0.0,0,200,33,1,30,4.0,0.06,0.0,0.1,0.08,95
222,Frappuccino Light Blended Coffee,Venti Nonfat Milk,210,1,0.5,0.0,5,280,46,1,42,6.0,0.08,0.0,0.15,0.1,130
223,Frappuccino Light Blended Coffee,Tall Nonfat Milk,100,0.1,0.0,0.0,0,140,23,0,23,3.0,0.04,0.0,0.08,0.0,65
224,Frappuccino Light Blended Coffee,Grande Nonfat Milk,150,0.1,0.1,0.0,0,200,33,0,32,3.0,0.06,0.0,0.1,0.0,90
225,Frappuccino Light Blended Coffee,Venti Nonfat Milk,200,0.1,0.1,0.0,5,270,44,0,43,5.0,0.08,0.0,0.15,0.02,120
226,Frappuccino Light Blended Coffee,Tall Nonfat Milk,150,3,2.0,0.0,0,170,30,1,27,4.0,0.04,0.0,0.1,0.2,70
227,Frappuccino Light Blended Coffee,Grande Nonfat Milk,220,4,3.0,0.0,0,240,43,2,39,5.0,0.06,0.0,0.1,0.25,105
228,Frappuccino Light Blended Coffee,Venti Nonfat Milk,290,5,4.0,0.0,5,320,58,2,52,7.0,0.08,0.0,0.15,0.35,165
229,Frappuccino Blended Crème,Tall Nonfat Milk,170,0.1,0.1,0.0,0,140,39,0,38,3.0,0.06,0.06,0.1,0.02,0
230,Frappuccino Blended Crème,Whole Milk,190,3,1.5,0.1,10,140,38,0,37,3.0,0.04,0.06,0.1,0.02,0
231,Frappuccino Blended Crème,Soymilk,170,1.5,0.2,0.0,0,135,37,1,35,3.0,0.04,0.06,0.1,0.06,0
232,Frappuccino Blended Crème,Grande Nonfat Milk,230,0.2,0.1,0.0,0,190,53,0,52,4.0,0.08,0.06,0.15,0.04,0
233,Frappuccino Blended Crème,Whole Milk,260,4,2.0,0.1,10,190,53,0,52,4.0,0.06,0.06,0.15,0.04,0
234,Frappuccino Blended Crème,Soymilk,240,2,0.2,0.0,0,180,51,1,49,3.0,0.04,0.06,0.15,0.08,0
235,Frappuccino Blended Crème,Venti Nonfat Milk,310,0.2,0.1,0.0,5,260,70,0,69,6.0,0.1,0.08,0.2,0.04,0
236,Frappuccino Blended Crème,Whole Milk,350,6,3.0,0.2,15,260,70,0,68,6.0,0.08,0.08,0.2,0.04,0
237,Frappuccino Blended Crème,Soymilk,320,3 2,0.4,0.0,0,250,67,1,64,5.0,0.06,0.08,0.2,0.1,0
238,Frappuccino Blended Crème,Tall Nonfat Milk,170,0.1,0.1,0.0,0,160,39,0,38,4.0,0.06,0.0,0.1,0.0,0
239,Frappuccino Blended Crème,Whole Milk,200,3.5,2.0,0.1,10,160,39,0,38,3.0,0.06,0.0,0.1,0.0,0
240,Frappuccino Blended Crème,Soymilk,180,1.5,0.2,0.0,0,160,37,1,35,3.0,0.04,0.0,0.1,0.06,0
241,Frappuccino Blended Crème,Grande Nonfat Milk,240,0.1,0.1,0.0,5,230,56,0,55,5.0,0.08,0.0,0.15,0.0,0
